year,trait,fold,trait_no
2022.0,gpc,1,0.0
2022.0,gpc,4,0.0
2022.0,gpc,8,0.0
2022.0,gpc,3,0.0
2022.0,gpc,10,0.0
2022.0,gpc,10,0.0
2022.0,gpc,6,0.0
2022.0,gpc,6,0.0
2022.0,gpc,10,0.0
2022.0,gpc,7,0.0
2022.0,gpc,10,0.0
2022.0,gpc,7,0.0
2022.0,gpc,5,0.0
2022.0,gpc,2,0.0
2022.0,gpc,1,0.0
2022.0,gpc,6,0.0
2022.0,gpc,6,0.0
2022.0,gpc,10,0.0
2022.0,gpc,7,0.0
2022.0,gpc,8,0.0
2022.0,gpc,5,0.0
2022.0,gpc,3,0.0
2022.0,gpc,8,0.0
2022.0,gpc,10,0.0
2022.0,gpc,1,0.0
2022.0,gpc,3,0.0
2022.0,gpc,5,0.0
2022.0,gpc,2,0.0
2022.0,gpc,2,0.0
2022.0,gpc,4,0.0
2022.0,gpc,4,0.0
2022.0,gpc,9,0.0
2022.0,gpc,8,0.0
2022.0,gpc,9,0.0
2022.0,gpc,7,0.0
2022.0,gpc,3,0.0
2022.0,gpc,6,0.0
2022.0,gpc,3,0.0
2022.0,gpc,7,0.0
2022.0,gpc,5,0.0
2022.0,gpc,10,0.0
2022.0,gpc,9,0.0
2022.0,gpc,5,0.0
2022.0,gpc,1,0.0
2022.0,gpc,6,0.0
2022.0,gpc,7,0.0
2022.0,gpc,10,0.0
2022.0,gpc,2,0.0
2022.0,gpc,8,0.0
2022.0,gpc,2,0.0
2022.0,gpc,6,0.0
2022.0,gpc,9,0.0
2022.0,gpc,4,0.0
2022.0,gpc,10,0.0
2022.0,gpc,9,0.0
2022.0,gpc,7,0.0
2022.0,gpc,1,0.0
2022.0,gpc,7,0.0
2022.0,gpc,1,0.0
2022.0,gpc,8,0.0
2022.0,gpc,6,0.0
2022.0,gpc,7,0.0
2022.0,gpc,3,0.0
2022.0,gpc,2,0.0
2022.0,gpc,9,0.0
2022.0,gpc,10,0.0
2022.0,gpc,8,0.0
2022.0,gpc,1,0.0
2022.0,gpc,8,0.0
2022.0,gpc,8,0.0
2022.0,gpc,7,0.0
2022.0,gpc,4,0.0
2022.0,gpc,2,0.0
2022.0,gpc,9,0.0
2022.0,gpc,6,0.0
2022.0,gpc,3,0.0
2022.0,gpc,3,0.0
2022.0,gpc,2,0.0
2022.0,gpc,1,0.0
2022.0,gpc,6,0.0
2022.0,gpc,9,0.0
2022.0,gpc,5,0.0
