trait,trait_no,fold
gpc,0,10
gpc,0,1
gpc,0,4
gpc,0,8
gpc,0,3
gpc,0,10
gpc,0,10
gpc,0,10
gpc,0,6
gpc,0,6
gpc,0,10
gpc,0,6
gpc,0,9
gpc,0,7
gpc,0,5
gpc,0,2
gpc,0,1
gpc,0,10
gpc,0,5
gpc,0,5
gpc,0,10
gpc,0,7
gpc,0,8
gpc,0,5
gpc,0,2
gpc,0,7
gpc,0,9
gpc,0,5
gpc,0,2
gpc,0,4
gpc,0,9
gpc,0,3
gpc,0,5
gpc,0,10
gpc,0,9
gpc,0,4
gpc,0,1
gpc,0,6
gpc,0,6
gpc,0,8
gpc,0,10
gpc,0,2
gpc,0,3
gpc,0,2
gpc,0,5
gpc,0,3
gpc,0,3
gpc,0,10
gpc,0,4
gpc,0,6
gpc,0,1
gpc,0,6
gpc,0,1
gpc,0,7
gpc,0,8
gpc,0,6
gpc,0,7
gpc,0,3
gpc,0,2
gpc,0,9
gpc,0,10
gpc,0,9
gpc,0,1
gpc,0,8
gpc,0,8
gpc,0,8
gpc,0,4
gpc,0,2
gpc,0,6
gpc,0,9
gpc,0,6
gpc,0,6
gpc,0,3
gpc,0,3
gpc,0,2
gpc,0,1
gpc,0,9
gpc,0,8
gpc,0,4
gpc,0,10
gpc,0,5
gpc,0,5
gpc,0,9
gpc,0,3
gpc,0,1
gpc,0,4
gpc,0,9
gpc,0,7
gpc,0,3
gpc,0,1
gpc,0,4
gpc,0,5
gpc,0,4
gpc,0,6
gpc,0,2
gpc,0,9
gpc,0,9
gpc,0,10
gpc,0,8
gpc,0,5
gpc,0,10
gpc,0,5
gpc,0,2
gpc,0,3
gpc,0,1
gpc,0,9
gpc,0,7
gpc,0,5
gpc,0,4
gpc,0,10
gpc,0,1
gpc,0,3
gpc,0,3
gpc,0,7
gpc,0,2
gpc,0,8
gpc,0,7
gpc,0,6
gpc,0,1
gpc,0,7
gpc,0,7
gpc,0,7
gpc,0,8
gpc,0,10
gpc,0,1
gpc,0,6
gpc,0,5
gpc,0,3
gpc,0,4
gpc,0,8
gpc,0,7
gpc,0,8
gpc,0,2
gpc,0,2
gpc,0,5
gpc,0,1
gpc,0,8
gpc,0,2
gpc,0,7
gpc,0,6
gpc,0,7
gpc,0,1
gpc,0,5
gpc,0,4
gpc,0,8
gpc,0,4
gpc,0,6
gpc,0,1
gpc,0,3
gpc,0,4
gpc,0,9
gpc,0,2
gpc,0,8
gpc,0,2
gpc,0,9
gpc,0,4
gpc,0,4
gpc,0,1
gpc,0,3
gpc,0,9
gpc,0,7
tw,1,10
tw,1,1
tw,1,4
tw,1,8
tw,1,3
tw,1,10
tw,1,10
tw,1,10
tw,1,6
tw,1,6
tw,1,10
tw,1,6
tw,1,9
tw,1,7
tw,1,5
tw,1,2
tw,1,1
tw,1,10
tw,1,5
tw,1,5
tw,1,10
tw,1,7
tw,1,8
tw,1,5
tw,1,2
tw,1,7
tw,1,9
tw,1,5
tw,1,2
tw,1,4
tw,1,9
tw,1,3
tw,1,5
tw,1,10
tw,1,9
tw,1,4
tw,1,1
tw,1,6
tw,1,6
tw,1,8
tw,1,10
tw,1,2
tw,1,3
tw,1,2
tw,1,5
tw,1,3
tw,1,3
tw,1,10
tw,1,4
tw,1,6
tw,1,1
tw,1,6
tw,1,1
tw,1,7
tw,1,8
tw,1,6
tw,1,7
tw,1,3
tw,1,2
tw,1,9
tw,1,10
tw,1,9
tw,1,1
tw,1,8
tw,1,8
tw,1,8
tw,1,4
tw,1,2
tw,1,6
tw,1,9
tw,1,6
tw,1,6
tw,1,3
tw,1,3
tw,1,2
tw,1,1
tw,1,9
tw,1,8
tw,1,4
tw,1,10
tw,1,5
tw,1,5
tw,1,9
tw,1,3
tw,1,1
tw,1,4
tw,1,9
tw,1,7
tw,1,3
tw,1,1
tw,1,4
tw,1,5
tw,1,4
tw,1,6
tw,1,2
tw,1,9
tw,1,9
tw,1,10
tw,1,8
tw,1,5
tw,1,10
tw,1,5
tw,1,2
tw,1,3
tw,1,1
tw,1,9
tw,1,7
tw,1,5
tw,1,4
tw,1,10
tw,1,1
tw,1,3
tw,1,3
tw,1,7
tw,1,2
tw,1,8
tw,1,7
tw,1,6
tw,1,1
tw,1,7
tw,1,7
tw,1,7
tw,1,8
tw,1,10
tw,1,1
tw,1,6
tw,1,5
tw,1,3
tw,1,4
tw,1,8
tw,1,7
tw,1,8
tw,1,2
tw,1,2
tw,1,5
tw,1,1
tw,1,8
tw,1,2
tw,1,7
tw,1,6
tw,1,7
tw,1,1
tw,1,5
tw,1,4
tw,1,8
tw,1,4
tw,1,6
tw,1,1
tw,1,3
tw,1,4
tw,1,9
tw,1,2
tw,1,8
tw,1,2
tw,1,9
tw,1,4
tw,1,4
tw,1,1
tw,1,3
tw,1,9
tw,1,7
gy_norm,2,10
gy_norm,2,1
gy_norm,2,4
gy_norm,2,8
gy_norm,2,3
gy_norm,2,10
gy_norm,2,10
gy_norm,2,10
gy_norm,2,6
gy_norm,2,6
gy_norm,2,10
gy_norm,2,6
gy_norm,2,9
gy_norm,2,7
gy_norm,2,5
gy_norm,2,2
gy_norm,2,1
gy_norm,2,10
gy_norm,2,5
gy_norm,2,5
gy_norm,2,10
gy_norm,2,7
gy_norm,2,8
gy_norm,2,5
gy_norm,2,2
gy_norm,2,7
gy_norm,2,9
gy_norm,2,5
gy_norm,2,2
gy_norm,2,4
gy_norm,2,9
gy_norm,2,3
gy_norm,2,5
gy_norm,2,10
gy_norm,2,9
gy_norm,2,4
gy_norm,2,1
gy_norm,2,6
gy_norm,2,6
gy_norm,2,8
gy_norm,2,10
gy_norm,2,2
gy_norm,2,3
gy_norm,2,2
gy_norm,2,5
gy_norm,2,3
gy_norm,2,3
gy_norm,2,10
gy_norm,2,4
gy_norm,2,6
gy_norm,2,1
gy_norm,2,6
gy_norm,2,1
gy_norm,2,7
gy_norm,2,8
gy_norm,2,6
gy_norm,2,7
gy_norm,2,3
gy_norm,2,2
gy_norm,2,9
gy_norm,2,10
gy_norm,2,9
gy_norm,2,1
gy_norm,2,8
gy_norm,2,8
gy_norm,2,8
gy_norm,2,4
gy_norm,2,2
gy_norm,2,6
gy_norm,2,9
gy_norm,2,6
gy_norm,2,6
gy_norm,2,3
gy_norm,2,3
gy_norm,2,2
gy_norm,2,1
gy_norm,2,9
gy_norm,2,8
gy_norm,2,4
gy_norm,2,10
gy_norm,2,5
gy_norm,2,5
gy_norm,2,9
gy_norm,2,3
gy_norm,2,1
gy_norm,2,4
gy_norm,2,9
gy_norm,2,7
gy_norm,2,3
gy_norm,2,1
gy_norm,2,4
gy_norm,2,5
gy_norm,2,4
gy_norm,2,6
gy_norm,2,2
gy_norm,2,9
gy_norm,2,9
gy_norm,2,10
gy_norm,2,8
gy_norm,2,5
gy_norm,2,10
gy_norm,2,5
gy_norm,2,2
gy_norm,2,3
gy_norm,2,1
gy_norm,2,9
gy_norm,2,7
gy_norm,2,5
gy_norm,2,4
gy_norm,2,10
gy_norm,2,1
gy_norm,2,3
gy_norm,2,3
gy_norm,2,7
gy_norm,2,2
